label,actual,predicted
salty,28.0,25.81399430718266
salty,28.0,26.732198690862568
salty,10.0,28.317181256628015
salty,13.0,31.540928734310157
salty,13.0,29.636254478439575
salty,37.0,32.3205432522025
salty,10.0,30.831766278529688
salty,44.0,30.776365058153164
salty,41.0,34.919485075737846
salty,44.0,28.99524627662677
salty,57.0,25.509968589011557
salty,39.0,30.607198127712532
salty,32.0,31.261620873757725
salty,38.0,43.358174993116364
salty,42.0,28.102211529906324
salty,45.0,37.744775470802026
salty,2.0,28.783533597848393
salty,37.0,28.68260310703003
salty,57.0,32.15409770073856
salty,35.0,39.30300225409133
salty,41.0,27.409121290729114
salty,42.0,30.185764476570387
salty,46.0,43.77125426328442
salty,16.0,23.73881700363916
salty,33.0,40.289848253628065
salty,29.0,30.366800331637442
salty,32.0,26.237345522327544
salty,41.0,44.734709917705665
salty,38.0,42.31349056746147
salty,36.0,31.494795296685837
salty,11.0,14.493877980842024
salty,25.0,25.753036094852824
salty,8.0,24.164040373428463
salty,41.0,36.57000260809872
salty,3.0,28.913744560284805
salty,24.0,24.091296493849853
salty,46.0,43.05914952615749
salty,6.0,28.756557151391007
salty,57.0,34.56308773605623
salty,25.0,32.452880195164035
salty,40.0,22.629798933953964
salty,30.0,25.869977125128234
salty,12.0,15.167106970159544
salty,35.0,32.36796267623654
salty,44.0,31.30609987064534
salty,35.0,37.24510357540637
salty,45.0,34.65173717829465
salty,28.0,25.38160265444066
salty,45.0,39.96691458094877
salty,28.0,32.565119200939364
salty,9.0,4.555428126666815
salty,9.0,8.642540318539776
salty,45.0,25.83607049922628
salty,32.0,32.99836073542635
salty,41.0,38.117674646605536
salty,28.0,34.84126139872311
salty,39.0,44.754669214429846
salty,39.0,29.14746209526337
salty,2.0,17.88369103031154
salty,41.0,27.571751047542055
salty,33.0,24.59756294906669
salty,35.0,35.65929795459383
salty,5.0,20.580866937590073
salty,29.0,24.58935015124877
salty,11.0,15.545526872379048
salty,43.0,65.06242195754788
umami,2.0,7.904386902333846
umami,3.0,4.350440901550019
umami,1.0,3.8077573985486666
umami,1.0,3.36931001309277
umami,5.0,7.298571602249502
umami,2.0,5.354315550452359
umami,11.0,16.457504872961984
umami,10.0,18.519778678257236
umami,13.0,15.291301241930014
umami,11.0,18.216986984849466
umami,5.0,16.48245533106183
umami,15.0,15.962926472743375
umami,13.0,20.546675616084208
umami,20.0,16.466554945427863
umami,41.0,12.764071346572448
umami,27.0,15.362501106132065
umami,32.0,19.448888855573927
umami,21.0,22.69057965494642
umami,21.0,15.858001571681253
umami,37.0,21.72557562137785
umami,4.0,15.887777251889593
umami,37.0,14.841183490873215
umami,6.0,16.623994364932273
umami,13.0,21.12709383790302
umami,14.0,3.444774702268619
umami,32.0,17.3708521304861
umami,28.0,23.367597828304028
umami,8.0,10.473085747855404
umami,8.0,2.5239594561730545
umami,25.0,17.24478780483028
umami,8.0,12.415298544398627
umami,19.0,22.181322232661557
umami,16.0,24.301801565969175
umami,26.0,18.753872330428365
umami,2.0,3.2387388232658036
umami,8.0,10.883343460403472
umami,2.0,11.817915730298068
umami,14.0,14.002582493749298
umami,1.0,16.52999901354519
umami,7.0,8.81461749596252
umami,31.0,20.005765792666676
